"","buying","maint","doors","persons","lug_boot","safety","class"
"963","high","med","5more","4","big","low","unacc"
"964","high","vhigh","2","4","med","med","unacc"
"965","high","vhigh","2","more","med","med","unacc"
"966","high","vhigh","2","2","small","high","unacc"
"967","vhigh","high","3","2","med","low","unacc"
"968","high","med","5more","2","small","low","unacc"
"969","high","high","5more","2","small","high","unacc"
"970","vhigh","vhigh","3","4","big","low","unacc"
"971","low","low","4","4","big","med","good"
"972","vhigh","low","2","4","med","low","unacc"
"973","high","vhigh","2","2","med","low","unacc"
"974","med","low","2","4","med","high","acc"
"975","low","med","2","4","med","high","good"
"976","high","med","3","more","med","med","unacc"
"977","low","low","2","more","small","high","acc"
"978","low","high","5more","more","big","high","acc"
"979","low","low","2","4","big","high","vgood"
"980","med","high","5more","more","big","med","acc"
"981","vhigh","low","5more","2","small","med","unacc"
"982","low","low","2","more","med","high","acc"
"983","high","low","3","2","small","low","unacc"
"984","vhigh","low","3","more","med","low","unacc"
"985","high","med","3","more","med","low","unacc"
"986","vhigh","high","5more","4","small","med","unacc"
"987","vhigh","low","4","2","med","med","unacc"
"988","high","vhigh","4","2","big","high","unacc"
"989","high","low","5more","4","small","high","acc"
"990","high","vhigh","4","2","big","low","unacc"
"991","low","med","5more","more","small","high","acc"
"992","low","high","2","4","big","med","acc"
"993","med","high","4","2","med","low","unacc"
"994","high","vhigh","3","4","small","low","unacc"
"995","high","med","4","2","small","med","unacc"
"996","vhigh","med","5more","2","small","low","unacc"
"997","med","vhigh","5more","more","small","med","unacc"
"998","med","low","3","4","small","low","unacc"
"999","vhigh","med","4","more","med","med","acc"
"1000","high","high","2","4","big","low","unacc"
"1001","vhigh","low","4","more","med","low","unacc"
"1002","med","med","2","4","big","high","vgood"
"1003","high","med","5more","2","small","low","unacc"
"1004","low","high","4","4","big","low","unacc"
"1005","med","high","2","2","small","med","unacc"
"1006","low","low","4","more","med","low","unacc"
"1007","vhigh","med","5more","2","big","high","unacc"
"1008","med","med","4","more","big","low","unacc"
"1009","med","high","3","2","big","low","unacc"
"1010","low","low","5more","2","small","low","unacc"
"1011","low","high","2","2","small","high","unacc"
"1012","low","med","4","more","small","low","unacc"
"1013","vhigh","med","5more","2","small","high","acc"
"1014","vhigh","vhigh","2","4","big","low","unacc"
"1015","med","low","5more","more","big","high","vgood"
"1016","vhigh","med","3","2","small","low","unacc"
"1017","vhigh","low","3","4","med","high","acc"
"1018","med","low","3","2","med","high","unacc"
"1019","vhigh","med","4","more","big","med","acc"
"1020","low","vhigh","4","4","med","low","unacc"
"1021","low","vhigh","4","more","small","high","acc"
"1022","low","med","3","2","small","med","unacc"
"1023","med","med","2","2","med","med","unacc"
"1024","high","low","2","4","med","high","acc"
"1025","low","low","2","4","med","high","vgood"
"1026","vhigh","high","4","2","med","high","unacc"
"1027","low","med","4","more","med","high","vgood"
"1028","med","high","3","4","big","high","acc"
"1029","vhigh","med","3","2","big","high","unacc"
"1030","high","vhigh","5more","4","big","med","unacc"
"1031","low","high","3","2","med","med","unacc"
"1032","low","vhigh","5more","2","small","low","unacc"
"1033","med","vhigh","3","2","small","high","unacc"
"1034","med","med","5more","4","big","high","vgood"
"1035","vhigh","med","4","2","small","high","unacc"
"1036","low","high","4","4","med","med","acc"
"1037","vhigh","med","5more","more","med","med","acc"
"1038","low","high","4","4","big","low","unacc"
"1039","med","low","4","2","med","med","unacc"
"1040","vhigh","med","5more","more","big","med","acc"
"1041","med","low","3","more","small","low","unacc"
"1042","low","med","5more","4","med","med","good"
"1043","med","med","5more","4","big","med","acc"
"1044","med","low","2","2","small","high","unacc"
"1045","med","med","3","2","med","high","unacc"
"1046","med","high","5more","more","small","med","unacc"
"1047","vhigh","high","4","4","small","med","unacc"
"1048","med","high","4","more","small","low","acc"
"1049","low","vhigh","4","2","small","med","unacc"
"1050","med","low","3","more","med","med","unacc"
"1051","high","vhigh","3","4","small","low","unacc"
"1052","vhigh","low","4","more","big","high","acc"
"1053","med","high","5more","more","med","high","acc"
"1054","med","high","2","2","med","high","unacc"
"1055","low","low","5more","4","med","high","unacc"
"1056","high","vhigh","3","2","small","low","unacc"
"1057","high","low","2","more","small","med","unacc"
"1058","low","high","2","4","big","high","vgood"
"1059","low","vhigh","2","4","big","med","unacc"
"1060","vhigh","low","2","4","small","med","unacc"
"1061","low","med","5more","4","small","low","unacc"
"1062","vhigh","low","4","4","big","med","acc"
"1063","vhigh","high","2","more","small","med","unacc"
"1064","vhigh","low","4","2","big","med","unacc"
"1065","low","low","4","4","big","med","unacc"
"1066","med","low","2","2","small","high","unacc"
"1067","vhigh","med","5more","more","big","high","acc"
"1068","high","med","3","4","med","high","unacc"
"1069","high","high","4","2","big","high","unacc"
"1070","vhigh","med","2","more","big","high","unacc"
"1071","med","low","5more","more","med","med","good"
"1072","med","low","4","2","big","low","unacc"
"1073","high","high","5more","2","med","low","unacc"
"1074","vhigh","high","2","4","big","med","unacc"
"1075","vhigh","vhigh","5more","4","med","low","acc"
"1076","high","med","5more","2","med","high","unacc"
"1077","vhigh","med","3","more","small","med","unacc"
"1078","vhigh","high","4","2","med","low","unacc"
"1079","med","vhigh","5more","4","small","med","unacc"
"1080","vhigh","med","4","more","med","med","acc"
"1081","high","low","4","4","big","high","acc"
"1082","low","high","2","4","big","low","unacc"
"1083","med","high","2","2","small","low","unacc"
"1084","med","high","2","more","small","med","unacc"
"1085","med","low","4","more","small","med","good"
"1086","vhigh","med","5more","2","small","low","unacc"
"1087","low","vhigh","5more","4","small","low","unacc"
"1088","med","vhigh","2","2","big","med","unacc"
"1089","low","low","2","4","big","high","vgood"
"1090","vhigh","low","5more","2","big","low","unacc"
"1091","vhigh","med","3","4","small","low","unacc"
"1092","high","low","2","4","med","low","unacc"
"1093","high","vhigh","3","more","big","high","unacc"
"1094","high","low","2","2","med","high","unacc"
"1095","med","low","4","more","small","high","unacc"
"1096","high","vhigh","2","4","big","high","acc"
"1097","vhigh","vhigh","5more","2","small","high","unacc"
"1098","high","low","4","2","med","high","unacc"
"1099","med","vhigh","3","more","small","high","acc"
"1100","vhigh","high","3","4","small","high","unacc"
"1101","med","high","4","4","med","med","acc"
"1102","low","med","4","2","med","low","unacc"
"1103","med","low","5more","4","med","low","unacc"
"1104","high","med","3","2","big","high","unacc"
"1105","vhigh","vhigh","5more","4","small","med","unacc"
"1106","low","high","3","4","small","low","unacc"
"1107","high","high","5more","2","med","med","unacc"
"1108","high","high","5more","more","small","med","unacc"
"1109","high","med","2","4","med","high","acc"
"1110","high","med","2","2","med","high","unacc"
"1111","vhigh","high","3","4","small","high","unacc"
"1112","low","low","3","2","med","med","unacc"
"1113","low","low","4","more","med","high","vgood"
"1114","high","high","5more","2","big","med","unacc"
"1115","med","vhigh","2","more","small","low","unacc"
"1116","high","high","3","2","small","med","unacc"
"1117","high","low","3","more","small","low","unacc"
"1118","med","low","4","more","small","med","acc"
"1119","vhigh","low","5more","2","big","high","unacc"
"1120","high","high","3","4","med","med","unacc"
"1121","low","high","3","2","med","high","unacc"
"1122","high","vhigh","5more","more","big","med","unacc"
"1123","high","vhigh","3","2","big","low","unacc"
"1124","med","high","3","4","med","high","acc"
"1125","high","med","5more","4","small","low","unacc"
"1126","low","high","3","more","big","low","unacc"
"1127","med","low","2","more","big","high","good"
"1128","vhigh","med","4","2","med","low","unacc"
"1129","med","vhigh","4","more","big","low","unacc"
"1130","high","high","3","4","big","low","acc"
"1131","vhigh","low","2","more","med","low","unacc"
"1132","med","vhigh","2","4","med","med","unacc"
"1133","vhigh","low","4","2","small","high","unacc"
"1134","high","vhigh","5more","2","small","high","unacc"
"1135","med","med","3","2","big","high","unacc"
"1136","low","med","5more","more","small","med","unacc"
"1137","med","low","3","4","small","high","good"
"1138","vhigh","low","3","2","small","med","unacc"
"1139","low","med","3","4","small","high","good"
"1140","high","high","2","more","med","med","acc"
"1141","high","low","2","more","small","low","unacc"
"1142","low","high","5more","more","med","med","acc"
"1143","vhigh","vhigh","4","4","small","med","unacc"
"1144","vhigh","low","2","2","med","high","unacc"
"1145","low","high","5more","2","med","med","unacc"
"1146","vhigh","high","4","4","big","med","acc"
"1147","vhigh","high","5more","4","med","med","unacc"
"1148","high","vhigh","4","more","big","low","unacc"
"1149","high","med","3","2","med","high","unacc"
"1150","high","low","5more","more","big","low","unacc"
"1151","vhigh","med","5more","more","med","low","unacc"
"1152","vhigh","vhigh","5more","2","big","high","unacc"
"1153","vhigh","high","2","more","big","high","unacc"
"1154","vhigh","med","2","2","big","high","unacc"
"1155","vhigh","med","5more","more","med","med","good"
"1156","med","high","5more","more","small","med","unacc"
"1157","vhigh","low","4","2","med","high","unacc"
"1158","high","low","4","2","small","high","unacc"
"1159","low","low","2","more","small","med","unacc"
"1160","vhigh","med","4","4","med","low","unacc"
"1161","high","low","5more","2","small","med","unacc"
"1162","high","low","5more","2","big","high","unacc"
"1163","med","med","3","more","small","high","acc"
"1164","med","low","5more","2","big","med","unacc"
"1165","vhigh","vhigh","4","more","big","med","unacc"
"1166","high","low","4","more","med","med","acc"
"1167","low","vhigh","2","more","med","med","acc"
"1168","low","low","4","more","med","med","good"
"1169","high","high","5more","more","small","high","acc"
"1170","vhigh","med","2","2","small","med","unacc"
"1171","high","high","3","more","small","high","acc"
"1172","vhigh","high","5more","4","med","med","unacc"
"1173","high","vhigh","4","2","small","low","unacc"
"1174","high","high","3","more","small","high","acc"
"1175","med","med","4","more","big","med","acc"
"1176","med","med","3","more","big","high","vgood"
"1177","low","low","5more","2","big","low","unacc"
"1178","vhigh","med","3","more","small","high","acc"
"1179","vhigh","med","2","2","med","low","unacc"
"1180","low","med","2","more","small","high","unacc"
"1181","low","high","2","4","big","med","unacc"
"1182","vhigh","med","2","more","small","med","unacc"
"1183","high","med","4","4","med","low","unacc"
"1184","vhigh","vhigh","2","4","small","med","unacc"
"1185","low","vhigh","3","4","med","low","unacc"
"1186","high","med","4","4","med","med","acc"
"1187","high","low","3","4","big","low","unacc"
"1188","high","vhigh","2","more","small","high","unacc"
"1189","med","vhigh","4","4","small","high","acc"
"1190","high","vhigh","3","4","med","high","unacc"
"1191","vhigh","low","2","4","med","high","acc"
"1192","med","vhigh","4","more","med","high","acc"
"1193","high","low","3","more","small","med","unacc"
"1194","high","vhigh","2","4","big","low","unacc"
"1195","med","high","4","more","small","low","unacc"
"1196","med","med","2","4","small","low","unacc"
"1197","vhigh","med","2","more","med","med","acc"
"1198","high","vhigh","4","more","small","low","unacc"
"1199","high","high","2","more","med","low","unacc"
"1200","high","low","3","more","med","high","acc"
"1201","vhigh","vhigh","3","4","big","med","acc"
"1202","vhigh","high","2","2","small","med","unacc"
"1203","vhigh","vhigh","3","4","big","high","unacc"
"1204","med","med","5more","more","small","high","acc"
"1205","vhigh","vhigh","5more","4","big","med","unacc"
"1206","vhigh","vhigh","3","more","med","low","unacc"
"1207","high","med","5more","more","med","high","acc"
"1208","low","vhigh","3","more","small","med","unacc"
"1209","vhigh","low","2","4","med","med","good"
"1210","med","low","2","more","med","high","good"
"1211","high","high","2","4","small","low","unacc"
"1212","vhigh","med","5more","4","small","low","unacc"
"1213","low","med","4","2","big","low","unacc"
"1214","low","high","5more","2","small","med","acc"
"1215","high","med","4","4","big","low","unacc"
"1216","high","med","4","4","big","med","acc"
"1217","high","med","3","more","med","low","unacc"
"1218","vhigh","med","5more","2","med","low","unacc"
"1219","med","med","5more","more","med","med","acc"
"1220","med","med","2","more","med","low","unacc"
"1221","low","high","3","2","big","low","unacc"
"1222","med","med","5more","4","med","med","good"
"1223","high","med","4","4","big","low","unacc"
"1224","high","med","5more","4","big","high","acc"
"1225","med","low","2","2","small","low","unacc"
"1226","vhigh","high","4","2","small","high","unacc"
"1227","low","med","4","2","big","high","unacc"
"1228","low","vhigh","5more","4","small","high","acc"
"1229","med","vhigh","5more","2","big","med","unacc"
"1230","low","med","5more","4","big","high","vgood"
"1231","med","med","2","4","med","med","acc"
"1232","low","med","5more","4","small","med","good"
"1233","high","high","3","2","med","high","unacc"
"1234","low","vhigh","5more","more","small","high","acc"
"1235","high","low","3","2","big","low","unacc"
"1236","vhigh","vhigh","2","4","med","low","unacc"
"1237","vhigh","vhigh","5more","2","med","med","unacc"
"1238","vhigh","vhigh","2","2","med","med","unacc"
"1239","vhigh","vhigh","3","4","big","med","unacc"
"1240","med","vhigh","2","2","big","low","unacc"
"1241","high","low","3","4","big","med","acc"
"1242","med","med","3","4","small","high","acc"
"1243","high","med","3","4","small","low","unacc"
"1244","vhigh","vhigh","4","2","med","med","unacc"
"1245","low","high","4","more","big","high","vgood"
"1246","med","high","2","2","big","high","unacc"
"1247","vhigh","vhigh","3","more","small","low","unacc"
"1248","med","high","4","2","big","high","acc"
"1249","med","vhigh","3","more","med","med","acc"
"1250","high","med","2","4","big","med","acc"
"1251","med","high","2","2","big","low","unacc"
"1252","med","vhigh","4","more","big","med","acc"
"1253","low","low","4","more","med","low","unacc"
"1254","med","low","2","4","big","high","vgood"
"1255","high","med","3","4","big","high","unacc"
"1256","vhigh","vhigh","3","4","big","high","vgood"
"1257","med","low","4","more","small","med","unacc"
"1258","vhigh","vhigh","5more","more","med","high","acc"
"1259","low","vhigh","5more","more","med","high","acc"
"1260","vhigh","low","3","4","med","med","acc"
"1261","low","low","5more","4","small","med","acc"
"1262","low","high","5more","more","med","high","vgood"
"1263","high","high","5more","more","med","med","acc"
"1264","med","med","3","4","big","low","unacc"
"1265","high","low","3","more","small","high","acc"
"1266","low","low","5more","more","big","high","vgood"
"1267","high","high","3","more","med","low","unacc"
"1268","vhigh","med","4","2","small","med","unacc"
"1269","high","high","4","4","med","low","unacc"
"1270","vhigh","med","3","more","big","low","unacc"
"1271","low","low","5more","more","small","med","acc"
"1272","vhigh","high","2","4","small","med","unacc"
"1273","vhigh","high","5more","more","med","med","unacc"
"1274","vhigh","high","3","2","big","high","unacc"
"1275","low","med","3","2","small","med","unacc"
"1276","med","vhigh","5more","more","med","high","acc"
"1277","med","vhigh","5more","more","small","med","unacc"
"1278","high","high","3","more","big","low","unacc"
"1279","low","med","4","4","big","high","vgood"
"1280","low","low","4","2","small","med","unacc"
"1281","vhigh","high","5more","4","small","low","unacc"
"1282","vhigh","low","5more","more","small","high","acc"
"1283","low","low","2","4","small","high","good"
"1284","low","vhigh","2","2","small","low","unacc"
"1285","med","vhigh","5more","more","big","low","unacc"
"1286","med","low","4","2","med","high","unacc"
"1287","low","high","4","2","med","high","unacc"
"1288","high","low","2","more","small","med","unacc"
"1289","low","low","3","2","big","high","unacc"
"1290","low","high","2","2","big","high","unacc"
"1291","vhigh","vhigh","2","more","med","med","acc"
"1292","high","high","2","more","small","high","unacc"
"1293","vhigh","high","2","4","small","low","unacc"
"1294","med","vhigh","5more","more","small","med","unacc"
"1295","med","low","3","more","med","low","unacc"
"1296","med","low","3","more","med","med","unacc"
"1297","high","med","3","2","med","high","unacc"
"1298","high","vhigh","2","4","small","low","unacc"
"1299","vhigh","low","2","4","small","low","unacc"
"1300","low","high","5more","4","med","low","unacc"
"1301","high","low","4","4","med","low","unacc"
"1302","med","vhigh","2","more","big","high","acc"
"1303","high","vhigh","2","4","med","med","unacc"
"1304","med","high","5more","4","small","low","unacc"
"1305","high","med","2","2","med","low","unacc"
"1306","low","low","4","more","small","med","unacc"
"1307","med","high","2","more","med","low","unacc"
"1308","high","med","4","4","small","med","unacc"
"1309","low","low","3","2","small","low","unacc"
"1310","med","med","4","4","med","med","acc"
"1311","high","low","4","more","med","high","acc"
"1312","high","vhigh","5more","2","big","med","unacc"
"1313","low","vhigh","5more","more","med","high","acc"
"1314","low","high","2","4","big","low","unacc"
"1315","low","vhigh","4","2","med","low","unacc"
"1316","high","med","2","2","small","med","unacc"
"1317","med","high","5more","more","small","med","unacc"
"1318","high","vhigh","4","4","small","high","unacc"
"1319","vhigh","vhigh","3","more","med","high","unacc"
"1320","high","med","3","more","small","med","unacc"
"1321","high","med","3","2","big","high","acc"
"1322","vhigh","high","2","4","med","low","unacc"
"1323","med","low","2","4","big","high","vgood"
"1324","high","high","3","more","big","med","acc"
"1325","med","vhigh","5more","more","small","med","acc"
"1326","high","vhigh","2","4","small","med","unacc"
"1327","med","vhigh","4","2","big","med","unacc"
"1328","high","low","2","4","small","low","unacc"
"1329","high","med","3","4","small","high","acc"
"1330","med","high","4","2","big","med","unacc"
"1331","low","med","4","2","small","low","unacc"
"1332","vhigh","low","2","more","small","high","unacc"
"1333","high","low","3","2","med","med","unacc"
"1334","low","low","2","more","med","high","good"
"1335","low","vhigh","3","4","med","low","unacc"
"1336","med","med","4","more","small","low","unacc"
"1337","vhigh","med","5more","2","big","low","unacc"
"1338","low","low","3","2","big","low","unacc"
"1339","high","vhigh","3","more","big","low","unacc"
"1340","med","med","5more","more","big","med","acc"
"1341","high","med","4","2","med","high","unacc"
"1342","vhigh","med","2","2","small","high","good"
"1343","low","vhigh","5more","4","med","low","unacc"
"1344","high","high","4","4","small","med","unacc"
"1345","high","vhigh","3","4","med","high","unacc"
"1346","low","med","5more","more","small","low","unacc"
"1347","vhigh","high","4","2","big","low","unacc"
"1348","med","med","2","more","small","high","unacc"
"1349","low","vhigh","4","more","small","high","unacc"
"1350","high","high","4","2","big","high","unacc"
"1351","vhigh","med","4","more","small","med","unacc"
"1352","vhigh","med","2","4","med","med","acc"
"1353","med","vhigh","3","2","big","low","acc"
"1354","med","low","5more","2","small","low","unacc"
"1355","med","low","5more","4","small","high","good"
"1356","low","high","2","2","small","low","unacc"
"1357","vhigh","low","3","more","med","high","acc"
"1358","high","low","2","more","small","high","acc"
"1359","vhigh","med","2","2","med","med","unacc"
"1360","med","low","3","more","big","low","unacc"
"1361","low","low","3","more","small","high","unacc"
"1362","high","vhigh","2","more","small","low","unacc"
"1363","vhigh","low","4","more","big","low","unacc"
"1364","med","med","5more","more","big","low","unacc"
"1365","vhigh","vhigh","5more","2","big","low","unacc"
"1366","vhigh","vhigh","2","more","med","high","acc"
"1367","vhigh","low","2","2","med","med","unacc"
"1368","high","med","4","2","med","high","unacc"
"1369","low","med","3","4","small","low","unacc"
"1370","high","med","5more","4","small","high","acc"
"1371","low","high","3","2","small","low","unacc"
"1372","med","vhigh","5more","4","big","med","acc"
"1373","vhigh","low","2","2","big","med","unacc"
"1374","low","low","4","more","med","high","unacc"
"1375","low","vhigh","2","2","med","low","unacc"
"1376","low","vhigh","3","more","big","high","acc"
"1377","vhigh","low","4","more","small","low","acc"
"1378","med","med","2","4","big","med","acc"
"1379","high","high","4","2","big","high","unacc"
"1380","high","low","2","more","med","low","unacc"
"1381","vhigh","vhigh","2","4","small","low","unacc"
"1382","med","med","5more","4","small","low","unacc"
"1383","high","high","4","4","med","low","unacc"
"1384","high","med","3","4","med","med","acc"
"1385","med","high","3","more","med","med","acc"
"1386","med","high","2","2","big","high","unacc"
"1387","vhigh","vhigh","5more","4","small","high","unacc"
"1388","vhigh","low","4","2","big","med","unacc"
"1389","med","high","2","2","small","high","unacc"
"1390","med","vhigh","2","2","med","high","unacc"
"1391","high","vhigh","5more","4","big","med","unacc"
"1392","low","high","5more","more","big","low","unacc"
"1393","vhigh","low","5more","2","big","med","unacc"
"1394","low","high","4","more","med","high","vgood"
"1395","vhigh","vhigh","4","2","med","med","unacc"
"1396","low","vhigh","3","4","big","high","unacc"
"1397","med","med","3","2","med","high","unacc"
"1398","low","low","5more","more","big","med","good"
"1399","low","med","3","2","big","low","unacc"
"1400","low","med","3","4","big","high","good"
"1401","high","low","4","2","small","high","unacc"
"1402","high","vhigh","4","2","big","med","unacc"
"1403","high","med","3","more","med","low","unacc"
"1404","high","low","4","more","big","high","acc"
"1405","vhigh","high","4","4","small","med","unacc"
"1406","low","high","4","2","small","high","unacc"
"1407","vhigh","high","5more","2","med","med","unacc"
"1408","low","low","3","4","big","high","unacc"
"1409","med","low","4","more","small","med","acc"
"1410","low","vhigh","4","4","small","high","acc"
"1411","low","low","2","4","med","high","good"
"1412","vhigh","vhigh","4","4","big","low","unacc"
"1413","high","high","2","more","big","high","acc"
"1414","vhigh","med","3","more","big","high","unacc"
"1415","high","high","5more","4","big","med","unacc"
"1416","low","high","4","2","big","high","acc"
"1417","high","med","5more","more","small","med","unacc"
"1418","high","vhigh","2","more","med","high","unacc"
"1419","vhigh","high","5more","4","med","high","unacc"
"1420","high","low","2","2","med","high","unacc"
"1421","high","vhigh","3","2","med","low","unacc"
"1422","high","med","2","4","small","high","acc"
"1423","high","low","4","4","small","med","unacc"
"1424","high","high","5more","more","med","med","acc"
"1425","vhigh","high","3","4","big","med","unacc"
"1426","low","med","2","more","med","med","acc"
"1427","med","high","5more","more","big","high","acc"
"1428","vhigh","low","5more","4","med","high","acc"
"1429","med","high","5more","more","small","med","unacc"
"1430","high","med","2","more","med","low","unacc"
"1431","med","low","3","more","big","low","unacc"
"1432","low","vhigh","2","4","big","low","unacc"
"1433","low","high","4","2","big","low","unacc"
"1434","vhigh","vhigh","2","more","med","med","unacc"
"1435","vhigh","low","4","more","small","low","unacc"
"1436","vhigh","low","5more","4","big","high","acc"
"1437","low","low","3","2","med","med","unacc"
"1438","med","vhigh","4","2","small","high","unacc"
"1439","med","vhigh","3","2","big","low","unacc"
"1440","vhigh","med","5more","more","med","med","unacc"
"1441","vhigh","high","3","2","small","low","unacc"
"1442","high","low","2","more","small","med","unacc"
"1443","vhigh","high","5more","4","big","low","unacc"
"1444","vhigh","low","3","2","small","low","unacc"
"1445","high","vhigh","5more","more","big","low","unacc"
"1446","vhigh","med","4","2","med","low","unacc"
"1447","med","low","2","2","big","high","unacc"
"1448","high","med","5more","4","big","med","unacc"
"1449","vhigh","low","3","4","big","med","acc"
"1450","low","low","5more","more","small","med","acc"
"1451","med","med","2","2","small","high","unacc"
"1452","med","vhigh","3","4","small","high","acc"
"1453","high","vhigh","4","4","small","med","unacc"
"1454","high","med","2","2","med","high","unacc"
"1455","low","med","5more","more","small","low","unacc"
"1456","med","med","2","more","big","low","unacc"
"1457","med","low","3","2","small","low","unacc"
"1458","vhigh","vhigh","3","4","big","med","unacc"
"1459","med","med","5more","2","big","med","unacc"
"1460","low","low","2","4","med","high","acc"
"1461","high","low","4","2","small","low","unacc"
"1462","low","med","4","2","small","high","unacc"
"1463","low","high","2","2","small","high","unacc"
"1464","low","low","4","2","small","med","unacc"
"1465","high","med","3","2","big","med","unacc"
"1466","med","high","2","4","small","med","unacc"
"1467","high","low","3","4","small","med","unacc"
"1468","high","vhigh","3","more","med","low","unacc"
"1469","high","high","2","more","med","low","unacc"
"1470","vhigh","high","4","2","small","med","unacc"
"1471","low","med","2","more","med","high","good"
"1472","high","vhigh","2","more","big","high","unacc"
"1473","low","vhigh","5more","more","small","high","acc"
"1474","high","med","5more","4","big","med","acc"
"1475","low","low","2","2","big","med","unacc"
"1476","med","high","4","4","med","low","unacc"
"1477","low","vhigh","5more","more","big","high","acc"
"1478","low","vhigh","3","4","small","med","acc"
"1479","high","low","2","4","med","high","unacc"
"1480","vhigh","med","3","4","big","low","unacc"
"1481","low","vhigh","3","2","small","low","unacc"
"1482","vhigh","med","2","4","med","med","acc"
"1483","low","med","3","2","small","low","unacc"
"1484","low","high","3","2","big","low","unacc"
"1485","low","med","4","2","big","high","unacc"
"1486","high","high","4","4","big","high","acc"
"1487","low","low","2","more","small","med","unacc"
"1488","high","low","5more","2","small","med","unacc"
"1489","med","vhigh","4","more","small","low","unacc"
"1490","low","vhigh","3","4","med","high","unacc"
"1491","high","high","2","more","med","high","acc"
"1492","high","high","5more","4","small","low","unacc"
"1493","vhigh","low","3","4","small","med","unacc"
"1494","low","med","5more","more","small","med","acc"
"1495","med","high","2","2","big","med","unacc"
"1496","med","vhigh","4","4","small","high","acc"
"1497","high","high","5more","more","med","high","acc"
"1498","vhigh","med","2","4","small","med","unacc"
"1499","high","vhigh","2","2","med","med","unacc"
"1500","med","med","4","2","small","low","unacc"
"1501","low","low","5more","4","big","med","unacc"
"1502","med","low","3","4","big","high","acc"
"1503","vhigh","low","2","4","small","high","acc"
"1504","vhigh","low","2","4","med","med","acc"
"1505","vhigh","vhigh","2","2","med","low","unacc"
"1506","low","med","5more","2","small","low","unacc"
"1507","high","high","2","more","small","low","unacc"
"1508","low","vhigh","4","more","med","low","unacc"
"1509","med","vhigh","2","2","med","med","unacc"
"1510","high","vhigh","4","more","big","low","unacc"
"1511","low","low","5more","4","small","low","unacc"
"1512","med","vhigh","5more","2","med","med","unacc"
"1513","vhigh","vhigh","3","4","small","low","unacc"
"1514","vhigh","high","2","more","small","low","unacc"
"1515","low","med","4","more","med","med","unacc"
"1516","med","med","5more","more","big","high","vgood"
"1517","high","vhigh","3","2","small","med","unacc"
"1518","high","low","5more","more","big","low","unacc"
"1519","high","med","5more","4","big","low","unacc"
"1520","vhigh","low","2","2","med","high","unacc"
"1521","vhigh","high","2","2","small","high","unacc"
"1522","high","med","4","4","med","high","acc"
"1523","vhigh","vhigh","3","2","med","low","unacc"
"1524","high","low","4","2","med","high","unacc"
"1525","low","high","5more","more","med","low","unacc"
"1526","vhigh","low","4","2","big","med","unacc"
"1527","low","med","3","4","small","low","unacc"
"1528","high","low","4","more","med","high","acc"
"1529","high","high","5more","more","big","med","acc"
"1530","vhigh","low","3","2","med","low","unacc"
"1531","vhigh","low","5more","4","big","low","unacc"
"1532","low","high","2","4","small","high","acc"
"1533","med","high","3","4","big","high","acc"
"1534","high","high","3","2","small","med","unacc"
"1535","med","med","3","more","big","low","unacc"
"1536","med","high","2","4","med","high","acc"
"1537","low","high","4","4","small","med","acc"
"1538","low","vhigh","5more","2","big","low","unacc"
"1539","high","vhigh","5more","2","med","low","unacc"
"1540","low","med","3","4","small","high","good"
"1541","high","med","4","4","big","high","acc"
"1542","high","low","2","more","big","low","unacc"
"1543","med","vhigh","3","more","med","med","acc"
"1544","high","low","5more","4","small","high","acc"
"1545","med","high","4","more","big","low","unacc"
"1546","low","vhigh","3","4","med","high","acc"
"1547","med","low","5more","more","med","med","acc"
"1548","high","vhigh","4","4","big","med","unacc"
"1549","low","high","2","4","big","high","acc"
"1550","high","vhigh","2","more","big","high","good"
"1551","high","high","3","more","big","low","unacc"
"1552","vhigh","vhigh","3","more","med","med","unacc"
"1553","vhigh","vhigh","3","4","big","med","unacc"
"1554","vhigh","low","2","more","small","med","unacc"
"1555","vhigh","med","3","more","med","low","unacc"
"1556","med","low","3","2","med","high","unacc"
"1557","low","vhigh","5more","2","big","low","unacc"
"1558","low","med","4","more","med","high","vgood"
"1559","med","high","2","2","med","med","unacc"
"1560","low","med","4","2","med","high","unacc"
"1561","vhigh","high","2","4","small","med","unacc"
"1562","high","vhigh","4","more","big","low","unacc"
"1563","high","med","5more","4","med","low","unacc"
"1564","med","high","2","more","small","med","unacc"
"1565","med","high","3","2","small","low","unacc"
"1566","high","vhigh","4","4","big","med","unacc"
"1567","low","high","5more","4","small","high","acc"
"1568","high","high","5more","2","med","med","unacc"
"1569","med","vhigh","2","more","big","med","unacc"
"1570","low","vhigh","4","2","med","low","unacc"
"1571","high","high","4","more","med","low","unacc"
"1572","low","low","5more","more","med","low","unacc"
"1573","vhigh","vhigh","3","4","small","med","unacc"
"1574","med","high","2","more","big","med","unacc"
"1575","low","high","5more","2","big","low","unacc"
"1576","med","vhigh","4","more","big","med","acc"
"1577","med","high","5more","4","small","med","unacc"
"1578","med","med","5more","2","small","low","unacc"
"1579","med","low","5more","4","big","high","vgood"
"1580","low","low","3","4","small","high","acc"
"1581","low","high","5more","2","med","low","unacc"
"1582","vhigh","high","4","2","small","high","unacc"
"1583","med","vhigh","5more","more","big","low","unacc"
"1584","low","vhigh","2","2","big","high","unacc"
"1585","low","med","3","more","small","low","unacc"
"1586","low","low","3","2","small","low","unacc"
